round_num,venue,date,year,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
2,Corio Oval,1898-05-21 15:00,1898,Geelong,4.0,8.0,5.0,11.0,8.0,15.0,11.0,19.0,St Kilda,0.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0
3,Princes Park,1898-05-24 15:00,1898,Carlton,1.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,Essendon,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3,M.C.G.,1898-05-24 15:00,1898,Melbourne,1.0,3.0,4.0,5.0,5.0,8.0,6.0,10.0,Collingwood,2.0,1.0,2.0,2.0,5.0,4.0,5.0,6.0
3,Junction Oval,1898-05-24 15:00,1898,St Kilda,0.0,1.0,0.0,1.0,2.0,4.0,2.0,4.0,Fitzroy,1.0,1.0,4.0,3.0,4.0,6.0,7.0,11.0
3,Corio Oval,1898-05-24 15:00,1898,Geelong,1.0,0.0,4.0,7.0,6.0,9.0,7.0,18.0,South Melbourne,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
4,Princes Park,1898-05-28 15:00,1898,Carlton,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,Geelong,0.0,3.0,1.0,9.0,1.0,12.0,3.0,12.0
4,Lake Oval,1898-05-28 15:00,1898,South Melbourne,1.0,3.0,3.0,5.0,4.0,10.0,7.0,11.0,Collingwood,1.0,0.0,2.0,1.0,3.0,2.0,6.0,6.0
4,East Melbourne,1898-05-28 15:00,1898,Essendon,5.0,4.0,7.0,10.0,11.0,12.0,16.0,16.0,St Kilda,1.0,1.0,3.0,7.0,4.0,7.0,5.0,7.0
4,Brunswick St,1898-05-28 15:00,1898,Fitzroy,1.0,2.0,1.0,7.0,2.0,11.0,4.0,14.0,Melbourne,1.0,2.0,1.0,3.0,1.0,5.0,2.0,7.0
5,Victoria Park,1898-06-04 15:00,1898,Collingwood,2.0,1.0,5.0,5.0,6.0,9.0,6.0,12.0,Carlton,0.0,3.0,0.0,3.0,0.0,5.0,0.0,6.0
5,East Melbourne,1898-06-04 15:00,1898,Essendon,2.0,2.0,2.0,4.0,5.0,8.0,6.0,12.0,Melbourne,1.0,0.0,2.0,3.0,3.0,5.0,3.0,5.0
